,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,GDP
0,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1960,
1,Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1960,21125015452.1973
2,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1960,537777811.111111
3,Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,1960,10447637852.9182
4,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1960,
5,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1960,
6,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1960,
7,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1960,
8,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1960,
9,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1960,
10,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1960,
11,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1960,
12,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1960,
13,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1960,18606562979.2829
14,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1960,6592693841.18495
15,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1960,
16,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1960,195999989.80792
17,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1960,11658722590.99
18,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1960,226195578.067006
19,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1960,330442815.284328
20,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1960,4274893913.49536
21,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1960,
22,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1960,
23,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1960,169803921.568627
24,Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1960,
25,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1960,
26,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1960,28072478.0640563
27,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1960,84466654.0769119
28,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1960,377020202.020202
29,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1960,17030465539.3906
30,Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1960,
31,Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1960,
32,Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1960,
33,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1960,30411418.6788295
34,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1960,112155598.309943
35,Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1960,40462398501.8858
36,Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1960,
37,Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1960,9522746879.76772
38,Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1960,
39,Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1960,4110000000.0
40,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1960,59716251765.1756
41,Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1960,546203558.456965
42,Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1960,614206067.499389
43,"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1960,3359404117.64706
44,"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1960,131731862.568997
45,Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1960,4031152977.24659
46,Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1960,
47,Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1960,
48,Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1960,507513829.994855
49,Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1960,1880325752.27696
50,Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1960,
51,Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1960,
52,Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1960,
53,Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1960,
54,Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,1960,
55,Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1960,
56,Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1960,
57,Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1960,
58,Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1960,
59,Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1960,672399700.0
60,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1960,2723615449.12903
61,East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1960,81326348985.7568
62,Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1960,150325406857.623
63,East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1960,154635572036.74
64,Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,1960,
65,Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,1960,
66,Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1960,2069465326.42335
67,"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1960,
68,Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1960,244832979621.286
69,Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1960,
70,Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1960,12072126075.397
71,Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,1960,
72,Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1960,
73,European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1960,
74,Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1960,
75,Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1960,5224102195.52771
76,Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1960,112328422.113084
77,France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1960,62225478000.8822
78,Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,1960,
79,"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,1960,
80,Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1960,141468977.570007
81,United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1960,73233970838.2328
82,Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,1960,
83,Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1960,1217230094.97205
84,Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,1960,
85,Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,1960,
86,"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1960,
87,Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1960,
88,Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1960,
89,Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1960,4335186016.83942
90,Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1960,
91,Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,1960,
92,Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1960,1043599900.0
93,Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,1960,
94,Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1960,170216241.05514
95,High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,1960,1070309605652.22
96,"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1960,1320796651.69457
97,Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1960,335649999.832175
98,Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,1960,17292450314.7727
99,Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,1960,
100,Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1960,273187199.78145
101,Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1960,
102,IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,1960,312847710618.945
103,IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,1960,351271390107.743
104,IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,1960,38320022083.1443
105,IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1960,12063716103.7475
106,Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1960,
107,IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1960,27105173973.3975
108,Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,1960,
109,India,IND,GDP (current US$),NY.GDP.MKTP.CD,1960,37029883846.9303
110,Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,1960,
111,Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,1960,1939329775.43739
112,"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1960,4199134385.70456
113,Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1960,1683918769.46355
114,Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,1960,248434274.503252
115,Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,1960,2887228551.94742
116,Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1960,40385288344.1911
117,Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,1960,699064380.793686
118,Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,1960,
119,Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,1960,44307342906.2157
120,Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
121,Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,1960,791265458.813328
122,Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,1960,
123,Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,1960,637142865.714286
124,Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,1960,
125,St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1960,12366635.7449245
126,"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1960,3958824423.99818
127,Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,1960,
128,Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,1960,68172083254.5475
129,Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,1960,
130,Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,1960,
