,CountryName,Decade,Points,Population,Continent
0,Afghanistan,1970,0,10752971,Asia
1,Afghanistan,1980,0,12486631,Asia
2,Afghanistan,2000,1,19542982,Asia
3,Afghanistan,2010,1,28189672,Asia
4,Albania,1990,0,3295066,Europe
5,Albania,2000,0,3182021,Europe
6,Albania,2010,0,2913399,Europe
7,Algeria,1970,0,13795915,Africa
8,Algeria,1980,2,18739378,Africa
9,Algeria,1990,5,25518074,Africa
10,Algeria,2000,7,30774621,Africa
11,Algeria,2010,3,35856344,Africa
12,American Samoa,2000,0,58230,Oceania
13,American Samoa,2010,0,54849,Oceania
14,Andorra,1970,0,19860,Europe
15,Andorra,1980,0,35611,Europe
16,Andorra,1990,0,53569,Europe
17,Andorra,2000,0,66097,Europe
18,Andorra,2010,0,71519,Europe
19,Angola,1980,0,8330047,Africa
20,Angola,1990,0,11828638,Africa
21,Angola,2000,0,16394062,Africa
22,Angola,2010,0,23364185,Africa
23,Antigua and Barbuda,1980,0,64888,North America
24,Antigua and Barbuda,1990,0,63328,North America
25,Antigua and Barbuda,2000,0,75055,North America
26,Antigua and Barbuda,2010,0,85695,North America
27,Argentina,1970,1,23842803,South America
28,Argentina,1980,13,28024803,South America
29,Argentina,1990,22,32637657,South America
30,Argentina,2000,120,37070774,South America
31,Argentina,2010,41,41100123,South America
32,Armenia,1990,2,3556539,Asia
33,Armenia,2000,7,3168523,Asia
34,Armenia,2010,7,2946293,Asia
35,Aruba,1980,0,62267,North America
36,Aruba,1990,0,65712,North America
37,Aruba,2000,0,89101,North America
38,Aruba,2010,0,100341,North America
39,Australia,1970,43,12595034,Oceania
40,Australia,1980,100,14706322,Oceania
41,Australia,1990,192,17048003,Oceania
42,Australia,2000,491,19017963,Oceania
43,Australia,2010,202,22019168,Oceania
44,Austria,1970,14,7465301,Europe
45,Austria,1980,28,7547561,Europe
46,Austria,1990,66,7678729,Europe
47,Austria,2000,63,8010428,Europe
48,Austria,2010,51,8362829,Europe
49,Azerbaijan,1990,1,7427836,Asia
50,Azerbaijan,2000,15,8190337,Asia
51,Azerbaijan,2010,28,9237202,Asia
52,Bahrain,1980,0,362595,Asia
53,Bahrain,1990,0,517418,Asia
54,Bahrain,2000,0,711442,Asia
55,Bahrain,2010,3,1213645,Asia
56,Bangladesh,1980,0,83929765,Asia
57,Bangladesh,1990,0,107147651,Asia
58,Bangladesh,2000,0,129193327,Asia
59,Bangladesh,2010,0,148391139,Asia
60,Barbados,1970,0,241397,North America
61,Barbados,1980,0,253575,North America
62,Barbados,1990,0,258868,North America
63,Barbados,2000,1,264657,North America
64,Barbados,2010,0,274711,North America
65,Belarus,1990,27,10428525,Europe
66,Belarus,2000,68,10256483,Europe
67,Belarus,2010,44,9731427,Europe
68,Belgium,1970,11,9629376,Europe
69,Belgium,1980,8,9828986,Europe
70,Belgium,1990,10,9959560,Europe
71,Belgium,2000,15,10264343,Europe
72,Belgium,2010,24,10877947,Europe
73,Belize,1970,0,120905,North America
74,Belize,1980,0,145133,North America
75,Belize,1990,0,182589,North America
76,Belize,2000,0,240406,North America
77,Belize,2010,0,322106,North America
78,Benin,1970,0,3023443,Africa
79,Benin,1980,0,3833939,Africa
80,Benin,1990,0,5133419,Africa
81,Benin,2000,0,6998023,Africa
82,Benin,2010,0,9445710,Africa
83,Bermuda,1970,1,52019,North America
84,Bermuda,1980,0,53565,North America
85,Bermuda,1990,0,57470,North America
86,Bermuda,2000,0,61371,North America
87,Bermuda,2010,0,63447,North America
88,Bhutan,1980,0,415257,Asia
89,Bhutan,1990,0,558442,Asia
90,Bhutan,2000,0,587207,Asia
91,Bhutan,2010,0,705516,Asia
92,Bolivia,1970,0,4585693,South America
93,Bolivia,1980,0,5736088,South America
94,Bolivia,1990,0,7096194,South America
95,Bolivia,2000,0,8592656,South America
96,Bolivia,2010,0,10223270,South America
97,Bosnia and Herzegovina,1990,0,4494310,Europe
98,Bosnia and Herzegovina,2000,0,4179350,Europe
99,Bosnia and Herzegovina,2010,0,3811088,Europe
100,Botswana,1980,0,938578,Africa
101,Botswana,1990,0,1341474,Africa
102,Botswana,2000,0,1726985,Africa
103,Botswana,2010,1,2091664,Africa
104,Brazil,1970,5,96369875,South America
105,Brazil,1980,68,122288383,South America
106,Brazil,1990,73,150706446,South America
107,Brazil,2000,152,175873720,South America
108,Brazil,2010,101,196353492,South America
109,Bulgaria,1980,132,8980606,Europe
110,Bulgaria,1990,39,8767778,Europe
111,Bulgaria,2000,39,8097691,Europe
112,Bulgaria,2010,9,7592273,Europe
113,Burkina Faso,1970,0,5611666,Africa
114,Burkina Faso,1980,0,6932967,Africa
115,Burkina Faso,1990,0,9131361,Africa
116,Burkina Faso,2000,0,11882888,Africa
117,Burkina Faso,2010,0,16116845,Africa
118,Burundi,1990,1,5483793,Africa
119,Burundi,2000,0,6307659,Africa
120,Burundi,2010,1,9126605,Africa
121,Cambodia,1970,0,6708525,Asia
122,Cambodia,1990,0,8910808,Asia
123,Cambodia,2000,0,12118841,Asia
124,Cambodia,2010,0,14363532,Asia
125,Cameroon,1970,0,6452787,Africa
126,Cameroon,1980,1,8519891,Africa
127,Cameroon,1990,0,11430520,Africa
128,Cameroon,2000,20,15091594,Africa
129,Cameroon,2010,0,19878036,Africa
130,Canada,1970,38,21434577,North America
131,Canada,1980,120,24511510,North America
132,Canada,1990,208,27657204,North America
133,Canada,2000,222,30683313,North America
134,Canada,2010,286,33963412,North America
135,Cayman Islands,2000,0,39658,North America
136,Cayman Islands,2010,0,54074,North America
137,Central African Republic,1980,0,2415276,Africa
138,Central African Republic,1990,0,2809221,Africa
139,Central African Republic,2000,0,3759170,Africa
140,Central African Republic,2010,0,4660067,Africa
141,Chad,1970,0,3667394,Africa
142,Chad,1980,0,4408230,Africa
143,Chad,1990,0,5827069,Africa
144,Chad,2000,0,8259137,Africa
145,Chad,2010,0,11894727,Africa
146,Chile,1970,0,9820481,South America
147,Chile,1980,1,11469828,South America
148,Chile,1990,0,13342868,South America
