CountryName,CountryCode,IndicatorName,IndicatorCode,Year,GDP
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1960,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1960,21125015452.1973
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1960,537777811.111111
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,1960,10447637852.9182
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1960,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1960,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1960,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1960,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1960,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1960,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1960,18606562979.2829
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1960,6592693841.18495
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1960,195999989.80792
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1960,11658722590.99
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1960,226195578.067006
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1960,330442815.284328
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1960,4274893913.49536
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1960,169803921.568627
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1960,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1960,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1960,28072478.0640563
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1960,84466654.0769119
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1960,377020202.020202
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1960,17030465539.3906
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1960,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1960,30411418.6788295
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1960,112155598.309943
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1960,40462398501.8858
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1960,9522746879.76772
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1960,4110000000.0
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1960,59716251765.1756
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1960,546203558.456965
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1960,614206067.499389
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1960,3359404117.64706
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1960,131731862.568997
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1960,4031152977.24659
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1960,
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1960,507513829.994855
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1960,1880325752.27696
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1960,
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1960,
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,1960,
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1960,
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1960,
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1960,672399700.0
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1960,2723615449.12903
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1960,81326348985.7568
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1960,150325406857.623
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1960,154635572036.74
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,1960,
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1960,2069465326.42335
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1960,
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1960,244832979621.286
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1960,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1960,12072126075.397
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,1960,
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1960,
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1960,
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1960,
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1960,5224102195.52771
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1960,112328422.113084
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1960,62225478000.8822
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1960,141468977.570007
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1960,73233970838.2328
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,1960,
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1960,1217230094.97205
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,1960,
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1960,
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1960,
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1960,4335186016.83942
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1960,
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1960,1043599900.0
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,1960,
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1960,170216241.05514
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,1960,1070309605652.22
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1960,1320796651.69457
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1960,335649999.832175
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,1960,17292450314.7727
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,1960,
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1960,273187199.78145
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1960,
